time (us), GPS_numSat, GPS_coord[0], GPS_coord[1], GPS_altitude, GPS_speed (m/s), GPS_ground_course
293003134, 11, 29.8136131, -95.7810417, 360, 0.83, 338.5
293121885, 11, 29.8136130, -95.7810410, 362, 0.41, 338.5
293302135, 11, 29.8136140, -95.7810415, 362, 0.06, 338.5
293502134, 11, 29.8136146, -95.7810420, 363, 0.22, 338.5
293702387, 11, 29.8136153, -95.7810428, 362, 0.37, 338.5
293892777, 11, 29.8136146, -95.7810428, 363, 0.37, 338.5
294123760, 11, 29.8136152, -95.7810435, 362, 0.24, 338.5
294294341, 11, 29.8136166, -95.7810445, 360, 0.24, 338.5
294494833, 11, 29.8136177, -95.7810455, 360, 0.06, 338.5
294695585, 11, 29.8136182, -95.7810455, 362, 0.21, 338.5
294896047, 11, 29.8136194, -95.7810448, 364, 0.21, 338.5
295117010, 11, 29.8136206, -95.7810450, 365, 0.98, 338.5
295307262, 13, 29.8136209, -95.7810469, 361, 1.53, 234.3
295507927, 13, 29.8136157, -95.7810453, 369, 1.53, 234.3
295708635, 13, 29.8136105, -95.7810442, 378, 1.42, 195.7
295909549, 13, 29.8136084, -95.7810466, 380, 1.34, 210.2
296130422, 13, 29.8136065, -95.7810510, 376, 2.26, 220.9
296310760, 13, 29.8136020, -95.7810543, 385, 2.51, 231.7
296511262, 13, 29.8135975, -95.7810586, 396, 2.99, 223.3
296701885, 13, 29.8135921, -95.7810636, 402, 2.99, 223.3
296902460, 13, 29.8135846, -95.7810685, 409, 3.71, 216.0
297133509, 13, 29.8135770, -95.7810735, 413, 4.47, 211.3
297304011, 13, 29.8135687, -95.7810781, 416, 4.97, 208.3
297504710, 13, 29.8135593, -95.7810825, 418, 5.68, 203.3
297705260, 13, 29.8135493, -95.7810867, 421, 6.14, 199.2
297906134, 13, 29.8135408, -95.7810892, 427, 3.86, 197.8
298126887, 13, 29.8135333, -95.7810880, 430, 5.11, 183.1
298297385, 13, 29.8135212, -95.7810842, 433, 5.11, 183.1
298498010, 13, 29.8135035, -95.7810826, 439, 7.92, 172.0
298698894, 13, 29.8134839, -95.7810836, 445, 10.10, 176.5
298899384, 13, 29.8134662, -95.7810881, 447, 10.85, 182.5
299130259, 13, 29.8134491, -95.7810962, 445, 10.20, 200.9
299300634, 12, 29.8134338, -95.7811099, 443, 10.20, 200.9
299501385, 13, 29.8134212, -95.7811292, 439, 11.12, 225.1
299691885, 12, 29.8134212, -95.7811292, 439, 11.14, 235.8
299701885, 12, 29.8134121, -95.7811516, 436, 11.74, 246.7
299902884, 12, 29.8134055, -95.7811770, 435, 12.59, 255.7
300093635, 15, 29.8134055, -95.7811770, 435, 12.59, 255.7
300123635, 15, 29.8134035, -95.7812042, 430, 12.59, 255.7
300294075, 13, 29.8134035, -95.7812042, 430, 11.84, 270.7
300304259, 13, 29.8134023, -95.7812328, 429, 14.09, 265.5
300494815, 14, 29.8134023, -95.7812328, 429, 14.09, 265.5
300505010, 14, 29.8134002, -95.7812637, 431, 14.46, 267.0
300705760, 14, 29.8133986, -95.7812956, 432, 14.70, 266.0
300895803, 14, 29.8133967, -95.7813280, 432, 14.70, 266.0
301095802, 13, 29.8133967, -95.7813280, 432, 14.70, 265.1
301125884, 13, 29.8133954, -95.7813603, 432, 15.00, 265.7
301306010, 13, 29.8133936, -95.7813926, 433, 15.24, 265.4
301506637, 13, 29.8133908, -95.7814255, 435, 15.62, 264.7
301696947, 13, 29.8133884, -95.7814591, 436, 15.62, 264.7
301897259, 14, 29.8133849, -95.7814928, 439, 15.81, 266.0
302127509, 14, 29.8133811, -95.7815269, 441, 16.16, 264.5
302297845, 14, 29.8133777, -95.7815611, 441, 16.16, 264.5
302498387, 14, 29.8133744, -95.7815958, 442, 16.27, 265.3
302699271, 14, 29.8133707, -95.7816308, 443, 16.55, 265.4
302900156, 14, 29.8133668, -95.7816656, 443, 16.73, 265.1
303120903, 14, 29.8133632, -95.7817013, 446, 16.73, 265.1
303301635, 14, 29.8133594, -95.7817406, 459, 20.17, 264.6
303491760, 14, 29.8133557, -95.7817822, 473, 20.17, 264.6
303702416, 14, 29.8133520, -95.7818233, 480, 19.75, 263.0
303893176, 14, 29.8133485, -95.7818635, 484, 19.75, 263.0
304124260, 14, 29.8133453, -95.7819011, 484, 17.30, 264.3
304294885, 13, 29.8133424, -95.7819348, 476, 17.30, 264.3
304495386, 15, 29.8133414, -95.7819661, 467, 15.33, 263.8
304695509, 15, 29.8133430, -95.7819954, 454, 14.15, 268.7
304895635, 14, 29.8133435, -95.7820247, 442, 13.71, 276.3
305126510, 14, 29.8133402, -95.7820542, 430, 14.22, 261.1
305297260, 14, 29.8133353, -95.7820848, 431, 15.04, 257.2
305498074, 14, 29.8133309, -95.7821176, 434, 16.32, 264.8
305698385, 14, 29.8133278, -95.7821515, 438, 15.93, 263.9
305898696, 14, 29.8133243, -95.7821848, 441, 15.60, 263.0
306119658, 14, 29.8133211, -95.7822179, 442, 15.69, 263.8
306280384, 14, 29.8133177, -95.7822506, 443, 15.45, 263.8
306480426, 14, 29.8133142, -95.7822829, 444, 15.42, 264.0
306690454, 15, 29.8133107, -95.7823150, 444, 15.42, 264.0
306891012, 15, 29.8133027, -95.7823473, 445, 15.33, 263.7
307121260, 15, 29.8132938, -95.7823819, 453, 17.50, 259.5
307291760, 15, 29.8132892, -95.7824187, 463, 17.50, 259.5
307492760, 15, 29.8132848, -95.7824555, 471, 17.52, 261.2
307693259, 15, 29.8132815, -95.7824888, 473, 14.83, 265.7
307894134, 15, 29.8132781, -95.7825185, 473, 14.15, 260.8
308114585, 15, 29.8132743, -95.7825463, 477, 13.05, 261.0
308296135, 15, 29.8132702, -95.7825721, 472, 12.08, 260.4
308486885, 15, 29.8132674, -95.7825961, 455, 12.08, 260.4
308687911, 15, 29.8132643, -95.7826199, 430, 11.83, 259.3
308888385, 15, 29.8132580, -95.7826492, 416, 11.83, 259.3
309109273, 15, 29.8132511, -95.7826903, 413, 16.48, 252.3
309289820, 15, 29.8132457, -95.7827392, 413, 24.42, 263.4
309490760, 15, 29.8132421, -95.7827898, 412, 24.34, 265.8
309691634, 15, 29.8132394, -95.7828403, 409, 24.02, 265.5
309892134, 15, 29.8132365, -95.7828915, 408, 24.72, 265.1
310112260, 15, 29.8132332, -95.7829433, 406, 24.72, 265.1
310292509, 15, 29.8132297, -95.7829949, 405, 24.60, 264.9
310492563, 15, 29.8132259, -95.7830462, 404, 24.61, 264.1
310693509, 15, 29.8132207, -95.7830970, 405, 24.04, 259.5
310884135, 15, 29.8132116, -95.7831431, 409, 24.04, 259.5
311114537, 15, 29.8132007, -95.7831825, 413, 18.18, 250.4
311285385, 15, 29.8131899, -95.7832161, 420, 15.95, 247.1
311486138, 15, 29.8131799, -95.7832443, 428, 15.95, 247.1
311687135, 15, 29.8131706, -95.7832681, 438, 11.67, 244.4
311887384, 15, 29.8131621, -95.7832887, 446, 9.90, 243.3
312108134, 15, 29.8131549, -95.7833068, 453, 9.90, 243.3
312288885, 15, 29.8131492, -95.7833230, 458, 7.65, 246.1
312489260, 15, 29.8131445, -95.7833369, 460, 6.40, 247.3
312679838, 15, 29.8131407, -95.7833481, 459, 6.40, 247.3
312880417, 15, 29.8131379, -95.7833551, 456, 4.73, 247.7
313111266, 15, 29.8131376, -95.7833585, 453, 0.56, 248.1
313281956, 15, 29.8131387, -95.7833579, 451, 0.56, 248.1
313482760, 15, 29.8131403, -95.7833533, 447, 3.37, 44.6
313683538, 15, 29.8131429, -95.7833459, 443, 4.66, 60.8
313884308, 15, 29.8131462, -95.7833358, 439, 5.91, 66.7
314104957, 15, 29.8131500, -95.7833227, 434, 5.91, 66.7
314285760, 15, 29.8131545, -95.7833068, 430, 8.89, 72.5
314486010, 15, 29.8131593, -95.7832887, 427, 9.60, 73.0
314686029, 15, 29.8131645, -95.7832691, 425, 10.49, 73.2
314886259, 15, 29.8131697, -95.7832479, 424, 11.12, 74.6
315106634, 15, 29.8131743, -95.7832253, 424, 11.71, 76.0
315287509, 15, 29.8131787, -95.7832018, 423, 11.92, 77.1
315487634, 15, 29.8131828, -95.7831774, 422, 12.51, 79.1
315687540, 15, 29.8131865, -95.7831518, 421, 12.86, 79.8
315877887, 15, 29.8131902, -95.7831254, 420, 12.86, 79.8
316108134, 15, 29.8131942, -95.7830984, 419, 13.40, 79.8
316278159, 15, 29.8131984, -95.7830713, 419, 13.40, 79.8
316478420, 15, 29.8132028, -95.7830436, 418, 13.92, 79.3
316679385, 15, 29.8132071, -95.7830155, 415, 13.77, 80.1
316879675, 15, 29.8132112, -95.7829872, 413, 14.11, 80.8
317099815, 15, 29.8132151, -95.7829585, 410, 14.11, 80.8
317280134, 15, 29.8132191, -95.7829296, 409, 14.37, 80.9
317480783, 15, 29.8132231, -95.7829004, 407, 14.41, 80.8
317680814, 15, 29.8132271, -95.7828713, 404, 14.43, 81.2
317881010, 15, 29.8132309, -95.7828420, 402, 14.55, 81.9
318101260, 15, 29.8132351, -95.7828126, 402, 14.76, 80.3
318281384, 15, 29.8132395, -95.7827827, 400, 14.85, 80.7
318482134, 15, 29.8132442, -95.7827528, 401, 15.15, 80.0
318672761, 15, 29.8132477, -95.7827215, 407, 15.15, 80.0
318873634, 15, 29.8132520, -95.7826878, 422, 15.46, 84.9
319093586, 15, 29.8132578, -95.7826520, 436, 17.90, 79.7
319273809, 15, 29.8132646, -95.7826169, 447, 17.51, 79.6
319474135, 15, 29.8132706, -95.7825817, 448, 16.52, 79.7
319674384, 15, 29.8132757, -95.7825503, 447, 14.88, 80.3
319874509, 15, 29.8132804, -95.7825219, 442, 13.26, 78.8
320095010, 15, 29.8132833, -95.7824949, 434, 13.26, 78.8
320275767, 15, 29.8132861, -95.7824683, 421, 13.11, 80.9
320476509, 15, 29.8132895, -95.7824418, 401, 12.33, 78.7
320677259, 15, 29.8132939, -95.7824186, 393, 11.46, 78.1
320877273, 15, 29.8132977, -95.7823964, 390, 11.02, 80.9
321097509, 15, 29.8133013, -95.7823745, 386, 10.98, 79.9
321267551, 15, 29.8133048, -95.7823529, 382, 10.98, 79.9
321468134, 15, 29.8133083, -95.7823309, 379, 10.76, 80.2
321668313, 15, 29.8133125, -95.7823079, 376, 11.72, 78.1
321868509, 15, 29.8133168, -95.7822842, 373, 11.72, 78.1
322098531, 15, 29.8133205, -95.7822604, 371, 11.73, 79.6
322269259, 15, 29.8133241, -95.7822366, 369, 11.73, 79.6
322470010, 15, 29.8133269, -95.7822123, 365, 11.85, 81.2
322670010, 15, 29.8133290, -95.7821871, 363, 12.55, 85.8
322870037, 15, 29.8133307, -95.7821614, 361, 12.51, 85.4
323090260, 15, 29.8133321, -95.7821357, 359, 12.51, 85.4
323271010, 15, 29.8133331, -95.7821098, 359, 12.89, 88.0
323471635, 15, 29.8133339, -95.7820833, 360, 13.14, 88.3
