time (us), GPS_numSat, GPS_coord[0], GPS_coord[1], GPS_altitude, GPS_speed (m/s), GPS_ground_course
386138660, 15, 29.8132045, -95.7826212, 320, 0.32, 232.9
386165635, 15, 29.8132041, -95.7826210, 320, 0.32, 232.9
386365576, 15, 29.8132035, -95.7826213, 320, 0.41, 232.9
386565760, 15, 29.8132031, -95.7826213, 320, 0.18, 232.9
386765821, 15, 29.8132026, -95.7826212, 321, 0.18, 232.9
386986259, 15, 29.8132023, -95.7826209, 322, 0.14, 232.9
387166567, 15, 29.8132019, -95.7826205, 324, 0.25, 232.9
387366759, 15, 29.8132011, -95.7826202, 328, 0.20, 232.9
387566826, 15, 29.8132003, -95.7826201, 331, 0.52, 232.9
387767384, 15, 29.8131998, -95.7826204, 333, 0.39, 232.9
387988134, 15, 29.8131997, -95.7826210, 334, 0.39, 232.9
388168509, 15, 29.8132001, -95.7826220, 336, 1.25, 267.0
388369260, 15, 29.8132017, -95.7826236, 338, 2.19, 308.1
388570134, 15, 29.8132048, -95.7826255, 341, 2.62, 321.7
388760435, 15, 29.8132090, -95.7826281, 344, 2.62, 321.7
388991135, 15, 29.8132132, -95.7826315, 347, 3.02, 325.3
389161259, 15, 29.8132180, -95.7826341, 347, 3.45, 333.7
389361299, 15, 29.8132243, -95.7826358, 348, 3.45, 333.7
389561884, 15, 29.8132316, -95.7826350, 348, 3.79, 344.1
389762259, 15, 29.8132398, -95.7826310, 349, 4.59, 1.2
389992270, 15, 29.8132478, -95.7826241, 351, 5.91, 30.0
390162530, 15, 29.8132551, -95.7826157, 355, 5.91, 30.0
390363010, 15, 29.8132615, -95.7826056, 358, 6.43, 48.0
390563134, 15, 29.8132669, -95.7825936, 361, 6.70, 55.1
390763259, 15, 29.8132717, -95.7825807, 363, 7.20, 60.8
390983384, 15, 29.8132767, -95.7825666, 365, 7.20, 60.8
391163412, 15, 29.8132811, -95.7825514, 365, 7.84, 67.4
391363759, 15, 29.8132857, -95.7825352, 365, 8.63, 71.5
391564010, 15, 29.8132900, -95.7825173, 362, 8.88, 74.8
391754134, 15, 29.8132937, -95.7824985, 359, 8.88, 74.8
391984675, 15, 29.8132973, -95.7824785, 357, 10.20, 80.1
392165010, 15, 29.8132997, -95.7824571, 356, 10.53, 84.7
392355718, 15, 29.8133012, -95.7824346, 355, 10.53, 84.7
392556634, 15, 29.8133024, -95.7824106, 357, 11.25, 86.5
392757134, 15, 29.8133032, -95.7823855, 358, 12.19, 88.7
392977563, 15, 29.8133038, -95.7823602, 362, 12.19, 88.7
393158454, 15, 29.8133043, -95.7823346, 363, 12.07, 89.1
393359200, 15, 29.8133045, -95.7823089, 363, 12.56, 88.6
393560010, 15, 29.8133047, -95.7822823, 362, 12.86, 89.4
393760583, 15, 29.8133048, -95.7822552, 362, 13.18, 89.4
393981581, 15, 29.8133048, -95.7822274, 363, 13.65, 89.4
394162010, 15, 29.8133051, -95.7821990, 365, 13.87, 88.9
394352635, 15, 29.8133057, -95.7821698, 369, 14.23, 88.1
394553313, 15, 29.8133071, -95.7821399, 373, 14.23, 88.1
394754134, 15, 29.8133085, -95.7821099, 377, 14.46, 85.9
394975086, 15, 29.8133091, -95.7820797, 385, 14.49, 88.0
395155426, 15, 29.8133090, -95.7820459, 403, 17.85, 90.0
395355636, 15, 29.8133092, -95.7820092, 427, 17.85, 90.0
395555992, 15, 29.8133107, -95.7819733, 445, 17.51, 86.1
395756805, 15, 29.8133124, -95.7819385, 454, 15.84, 87.5
395977840, 15, 29.8133135, -95.7819063, 459, 15.47, 88.9
396158510, 15, 29.8133140, -95.7818759, 462, 14.70, 90.1
396349509, 15, 29.8133139, -95.7818479, 467, 14.70, 90.1
396550135, 15, 29.8133126, -95.7818203, 466, 13.72, 92.8
396750769, 15, 29.8133106, -95.7817921, 458, 12.59, 93.2
396971509, 15, 29.8133099, -95.7817650, 447, 12.96, 89.5
397152134, 15, 29.8133100, -95.7817394, 435, 12.23, 90.6
397352546, 15, 29.8133097, -95.7817140, 423, 12.44, 91.8
397553760, 15, 29.8133092, -95.7816889, 418, 12.56, 92.9
397754145, 15, 29.8133083, -95.7816633, 413, 12.54, 93.0
397975010, 15, 29.8133076, -95.7816379, 410, 12.56, 91.7
398155134, 15, 29.8133071, -95.7816120, 408, 12.91, 91.6
398355141, 15, 29.8133067, -95.7815852, 407, 13.10, 91.6
398545675, 15, 29.8133065, -95.7815584, 408, 13.10, 91.6
398746177, 15, 29.8133063, -95.7815313, 408, 13.19, 91.1
398977010, 15, 29.8133064, -95.7815037, 408, 13.52, 88.6
399147634, 15, 29.8133070, -95.7814763, 409, 13.52, 88.6
399348403, 15, 29.8133080, -95.7814494, 409, 13.29, 87.8
399548759, 15, 29.8133088, -95.7814216, 408, 13.57, 87.5
399749556, 15, 29.8133100, -95.7813938, 408, 13.50, 87.3
399969683, 15, 29.8133118, -95.7813658, 406, 13.50, 87.3
400149884, 15, 29.8133153, -95.7813380, 404, 13.74, 81.0
400349945, 15, 29.8133205, -95.7813108, 402, 13.26, 75.8
400550634, 15, 29.8133273, -95.7812857, 400, 12.12, 69.4
400751398, 15, 29.8133359, -95.7812643, 398, 10.87, 61.2
400972009, 15, 29.8133467, -95.7812468, 397, 10.29, 51.1
401152515, 15, 29.8133587, -95.7812323, 394, 9.04, 41.6
401343509, 15, 29.8133719, -95.7812215, 392, 9.04, 41.6
401544010, 15, 29.8133861, -95.7812133, 388, 8.93, 31.5
401744783, 15, 29.8134008, -95.7812081, 384, 8.49, 11.8
401965384, 15, 29.8134166, -95.7812052, 381, 8.49, 11.8
402146134, 15, 29.8134333, -95.7812039, 378, 9.25, 0.7
402347010, 15, 29.8134505, -95.7812037, 376, 9.63, 359.2
402547634, 15, 29.8134681, -95.7812042, 374, 9.77, 357.1
402748016, 15, 29.8134838, -95.7812041, 373, 7.82, 358.5
402968885, 15, 29.8134963, -95.7812042, 373, 6.15, 357.9
403119634, 14, 29.8134963, -95.7812042, 373, 6.15, 357.9
403129542, 14, 29.8135086, -95.7812080, 372, 7.77, 343.9
403330037, 14, 29.8135219, -95.7812169, 372, 8.94, 327.7
403541012, 15, 29.8135319, -95.7812280, 372, 7.66, 321.4
403741534, 15, 29.8135376, -95.7812426, 372, 8.30, 285.9
403962553, 15, 29.8135400, -95.7812607, 375, 8.30, 285.9
404143088, 15, 29.8135407, -95.7812809, 376, 10.16, 269.6
404344010, 15, 29.8135399, -95.7813029, 376, 10.94, 265.9
404544798, 15, 29.8135380, -95.7813256, 374, 11.03, 262.4
404735384, 15, 29.8135358, -95.7813493, 372, 11.03, 262.4
404966089, 15, 29.8135342, -95.7813747, 374, 12.66, 267.9
405146759, 15, 29.8135328, -95.7814021, 379, 13.73, 267.7
405337635, 15, 29.8135301, -95.7814308, 383, 13.73, 267.7
405538259, 15, 29.8135259, -95.7814601, 386, 14.45, 260.2
405738799, 15, 29.8135222, -95.7814903, 390, 15.03, 262.5
405959762, 15, 29.8135188, -95.7815215, 391, 15.03, 262.5
406140010, 15, 29.8135154, -95.7815526, 393, 15.27, 263.3
406340542, 15, 29.8135113, -95.7815835, 394, 15.22, 260.1
406541261, 15, 29.8135068, -95.7816150, 392, 15.52, 260.8
406731734, 15, 29.8135017, -95.7816468, 392, 15.52, 260.8
406963010, 15, 29.8134949, -95.7816807, 398, 17.80, 257.0
407133634, 15, 29.8134853, -95.7817201, 414, 17.80, 257.0
407334260, 15, 29.8134745, -95.7817635, 441, 21.94, 254.9
407535137, 15, 29.8134650, -95.7818065, 464, 21.19, 256.7
407716384, 14, 29.8134650, -95.7818065, 464, 21.19, 256.7
407726286, 14, 29.8134558, -95.7818488, 486, 21.18, 255.8
407947287, 14, 29.8134470, -95.7818869, 501, 17.24, 254.7
408117935, 14, 29.8134381, -95.7819194, 510, 17.24, 254.7
408318837, 14, 29.8134292, -95.7819501, 516, 15.91, 251.5
408529519, 15, 29.8134207, -95.7819785, 510, 15.61, 252.7
408730509, 15, 29.8134115, -95.7820052, 508, 13.77, 247.2
408920802, 14, 29.8134115, -95.7820052, 508, 13.77, 247.2
408950927, 14, 29.8134020, -95.7820325, 496, 13.77, 247.2
409121569, 15, 29.8134020, -95.7820325, 496, 14.86, 247.8
409131759, 15, 29.8133918, -95.7820610, 480, 15.01, 247.8
409332415, 15, 29.8133827, -95.7820897, 460, 14.79, 251.2
409533135, 15, 29.8133754, -95.7821202, 444, 15.43, 255.7
409733884, 15, 29.8133688, -95.7821531, 427, 17.09, 256.7
409944717, 15, 29.8133631, -95.7821895, 413, 17.09, 256.7
410135515, 15, 29.8133601, -95.7822313, 404, 21.53, 266.8
410326059, 15, 29.8133582, -95.7822758, 397, 21.53, 266.8
410526600, 15, 29.8133563, -95.7823206, 391, 21.61, 266.2
410727336, 15, 29.8133544, -95.7823652, 386, 21.40, 267.4
410948134, 15, 29.8133519, -95.7824103, 383, 21.60, 266.4
411128471, 15, 29.8133494, -95.7824555, 382, 21.65, 266.1
411329225, 15, 29.8133466, -95.7825006, 382, 22.07, 264.7
411530069, 15, 29.8133430, -95.7825465, 382, 22.50, 264.5
411730884, 15, 29.8133388, -95.7825921, 383, 21.91, 262.6
411951634, 15, 29.8133327, -95.7826373, 388, 21.81, 259.2
412112260, 14, 29.8133228, -95.7826792, 393, 21.81, 259.2
412313012, 13, 29.8133106, -95.7827159, 399, 20.27, 250.3
412513635, 13, 29.8132984, -95.7827462, 402, 14.89, 242.6
412704386, 14, 29.8132984, -95.7827462, 402, 14.89, 242.6
412714509, 14, 29.8132849, -95.7827695, 403, 12.51, 230.0
412904634, 13, 29.8132849, -95.7827695, 403, 12.51, 230.0
412934540, 13, 29.8132706, -95.7827858, 401, 10.31, 219.2
413104549, 14, 29.8132706, -95.7827858, 401, 10.31, 219.2
413114564, 14, 29.8132558, -95.7827953, 397, 8.93, 199.2
413314884, 14, 29.8132423, -95.7827988, 393, 6.74, 192.7
413515385, 14, 29.8132314, -95.7827965, 386, 6.05, 175.6
413726013, 15, 29.8132225, -95.7827890, 381, 6.05, 175.6
413947009, 15, 29.8132153, -95.7827768, 376, 7.56, 131.9
414126919, 15, 29.8132110, -95.7827600, 372, 9.37, 97.6
414327134, 15, 29.8132099, -95.7827394, 372, 10.37, 90.2
414527509, 15, 29.8132105, -95.7827167, 373, 11.37, 84.4
414728010, 15, 29.8132136, -95.7826927, 375, 12.00, 79.3
414948898, 15, 29.8132179, -95.7826676, 377, 12.66, 77.7
415119323, 15, 29.8132232, -95.7826427, 380, 12.50, 75.5
415320213, 15, 29.8132291, -95.7826162, 381, 12.50, 75.5
415521134, 15, 29.8132364, -95.7825890, 384, 13.66, 72.7
415721634, 15, 29.8132447, -95.7825611, 388, 13.91, 72.1
415951884, 15, 29.8132538, -95.7825322, 391, 15.00, 70.8
416122386, 15, 29.8132631, -95.7825024, 395, 15.00, 70.8
416323010, 15, 29.8132725, -95.7824718, 400, 15.83, 69.6
416523884, 15, 29.8132836, -95.7824434, 415, 14.78, 65.8
416724657, 15, 29.8132961, -95.7824103, 439, 19.97, 67.4
416945509, 15, 29.8133100, -95.7823723, 464, 19.75, 66.2
417115931, 15, 29.8133237, -95.7823369, 485, 19.75, 66.2
417316679, 15, 29.8133355, -95.7823023, 495, 18.02, 66.7
417517509, 15, 29.8133470, -95.7822695, 497, 17.45, 68.1
417717884, 15, 29.8133575, -95.7822391, 496, 14.86, 68.2
417938703, 15, 29.8133671, -95.7822098, 493, 14.86, 68.2
418118815, 15, 29.8133765, -95.7821821, 492, 14.19, 68.7
418319135, 15, 29.8133860, -95.7821547, 492, 14.47, 68.1
418519428, 15, 29.8133959, -95.7821267, 496, 14.74, 68.4
418719664, 15, 29.8134054, -95.7820985, 500, 14.23, 68.9
418940421, 15, 29.8134143, -95.7820702, 505, 14.73, 70.8
419120634, 15, 29.8134225, -95.7820414, 511, 14.55, 73.0
419320634, 15, 29.8134292, -95.7820121, 515, 14.44, 75.2
419521010, 15, 29.8134354, -95.7819825, 520, 14.61, 76.9
419721509, 15, 29.8134409, -95.7819526, 527, 14.72, 78.9
419942135, 15, 29.8134459, -95.7819220, 535, 15.01, 81.1
420112071, 15, 29.8134495, -95.7818907, 545, 15.01, 81.1
420312189, 15, 29.8134525, -95.7818583, 556, 15.83, 85.2
420512384, 15, 29.8134551, -95.7818251, 570, 15.83, 85.2
420713134, 15, 29.8134577, -95.7817909, 587, 16.23, 85.6
420934136, 15, 29.8134607, -95.7817552, 607, 16.78, 85.1
421114759, 15, 29.8134644, -95.7817197, 627, 16.98, 83.3
421315282, 15, 29.8134677, -95.7816845, 639, 16.58, 84.2
421516384, 15, 29.8134708, -95.7816515, 645, 15.38, 83.6
421716635, 15, 29.8134724, -95.7816202, 648, 14.95, 89.8
421937289, 15, 29.8134734, -95.7815904, 647, 13.91, 86.5
422108038, 15, 29.8134746, -95.7815624, 644, 13.91, 86.5
422308343, 15, 29.8134751, -95.7815351, 635, 13.47, 88.0
422509216, 15, 29.8134749, -95.7815102, 621, 12.85, 90.5
422710010, 15, 29.8134756, -95.7814899, 603, 11.10, 91.6
422930886, 15, 29.8134773, -95.7814730, 579, 6.99, 83.0
423111305, 15, 29.8134799, -95.7814624, 554, 3.89, 67.0
423312010, 15, 29.8134829, -95.7814620, 526, 2.84, 295.7
423512885, 15, 29.8134851, -95.7814717, 495, 6.83, 275.6
423713393, 15, 29.8134874, -95.7814889, 466, 9.70, 276.7
423904307, 14, 29.8134874, -95.7814889, 466, 9.70, 276.7
423934384, 14, 29.8134902, -95.7815142, 444, 13.55, 275.7
424104438, 14, 29.8134939, -95.7815454, 429, 13.55, 275.7
424304563, 14, 29.8134962, -95.7815795, 419, 15.72, 277.6
424504800, 14, 29.8134958, -95.7816148, 413, 16.88, 270.1
